,,,,,,,,,,,,
Circulación por vías establecidas,,,,,,,,,,,,
,,,,,,,,,,,,
Rango etario,Jueves 07-08 10:00 (mañana),Jueves 07-08 14:30 (tarde),Viernes 08-08 10:00 (mañana),Viernes 08-08 14:30 (tarde),Sábado 09-08 10:00 (mañana),Sábado 09-08 14:30 (tarde),Total,%,Promedio rango,,Promedio mañana por rango etario,Promedio tarde por rango etario
0-5 años,2,11,4,9,10,4,40,3.18%,7,,5,8
6-18 años,3,22,4,36,21,0,86,6.83%,14,,9,19
19-30 años,41,108,35,223,16,20,443,35.19%,74,,31,117
31-60 años,25,132,51,173,28,30,439,34.87%,73,,35,112
61-90 años,30,39,28,80,32,42,251,19.94%,42,,30,54
Promedio día,20,62,24,104,21,19,,,,,,
,,,,,,,,,,,,
,,,,,,,1259,100.00%,,,110,310
Circulación por vías informales,,,,,,,,,,,,
,,,,,,,,,,,,
Rango etario,Jueves 07-08 10:00 (mañana),Jueves 07-08 14:30 (tarde),Viernes 08-08 10:00 (mañana),Viernes 08-08 14:30 (tarde),Sábado 09-08 10:00 (mañana),Sábado 09-08 14:30 (tarde),Total,%,Promedio rango,,Promedio mañana por rango etario,Promedio tarde por rango etario
0-5 años,0,0,0,0,2,3,5,8.33%,1,,1,1
6-18 años,0,1,0,4,0,5,10,16.67%,2,,0,3
19-30 años,3,2,2,4,1,1,13,21.67%,2,,2,2
31-60 años,6,3,2,1,9,2,23,38.33%,4,,6,2
61-90 años,0,1,3,4,0,1,9,15.00%,2,,1,2
Promedio día,2,1,1,3,2,2,,,,,,
,,,,,,,,,,,,
,,,,,,,60,100.00%,,,10,10
,,,,,,,,,,,,
Total en ambas vías,,,,,,,,,,,,
,,,,,,,,,,,,
Rango etario,Jueves 07-08 10:00 (mañana),Jueves 07-08 14:30 (tarde),Viernes 08-08 10:00 (mañana),Viernes 08-08 14:30 (tarde),Sábado 09-08 10:00 (mañana),Sábado 09-08 14:30 (tarde),Total,%,Promedio rango,,Promedio mañana por rango etario,Promedio tarde por rango etario
0-5 años,2,11,4,9,12,7,45,3.41%,8,,6,9
6-18 años,3,23,4,40,21,5,96,7.28%,16,,9,23
19-30 años,44,110,37,227,17,21,456,34.57%,76,,33,119
31-60 años,31,135,53,174,37,32,462,35.03%,77,,40,114
61-90 años,30,40,31,84,32,43,260,19.71%,43,,31,56
Promedio día,22,64,26,107,24,22,,,,,,
,,,,,,,,,,,,
,,,,,,,1319,100.00%,,,119,321